PLZ;Ort;Netzbetreiber;Grundpreis (Euro/Jahr);ArbeitspreisHT (ct/kWh);Messstellenbetrieb (Euro/Jahr);Konzessionsabgabe (ct/kWh);Verbandsnummer
89359;Kötz. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86381;Krumbach. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89361;Landensberg. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89340;Leipheim. ;Netzgesellschaft Ostwürttemberg DonauRies GmbH;80.3;5.22;10.68;1.32;9901010000009
86505;Münsterhausen. ;Gemeinde Burtenbach Elektrizitäts- und Wasserwerk;62;6.48;12.64;1.32;9900121000007
86476;Neuburg. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86479;Aichen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89362;Offingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89364;Rettenbach. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89365;Röfingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86470;Thannhausen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86519;Wiesenbach. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89335;Brandfeld. Heubelsburg. Wiblishauserhof. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89367;Waldstetten. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86480;Waltenhausen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89368;Winterbach. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86473;Ziemetshausen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89281;Altenstadt. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89287;Bellenberg. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89290;Buch. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89291;Holzheim. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89257;Illertissen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89293;Kellmünz. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89278;Nersingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89231;Neu-Ulm. ;Stadtwerke Ulm/Neu-Ulm Netze GmbH;87.6;4.91;11.5;1.59;9900645000004
89233;Neu-Ulm. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.59;9900027000002
89233;Neu-Ulm. ;Stadtwerke Ulm/Neu-Ulm Netze GmbH;87.6;4.91;11.5;1.59;9900645000004
89081;Seligweiler. ;Netzgesellschaft Ostwürttemberg DonauRies GmbH;80.3;5.22;10.68;1.32;9901010000009
89275;Elchingen. ;Stadtwerke Ulm/Neu-Ulm Netze GmbH;87.6;4.91;11.5;1.32;9900645000004
89294;Oberroth. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89296;Osterberg. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89284;Pfaffenhofen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89290;Hochbuch. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89297;Roggenburg. ;Verteilnetze Energie Weissenhorn GmbH & Co. KG;54.75;5.2;11.68;1.32;9900676000007
89250;Senden. ;Stadtwerke Ulm/Neu-Ulm Netze GmbH;87.6;4.91;11.5;1.32;9900645000004
89299;Unterroth. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89269;Vöhringen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89264;Weißenhorn. ;Verteilnetze Energie Weissenhorn GmbH & Co. KG;54.75;5.2;11.68;1.32;9900676000007
89264;Weißenhorn. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
88131;Bodolz. ;Stadtwerke Lindau (B) GmbH & Co. KG;23.3;7.15;15.2;1.32;9900388000006
88131;Bodolz. ;Stadtwerke Lindau (B) GmbH & Co. KG;23.3;7.15;15.2;1.32;9900388000006
88167;Gestratz. Lengersau. Malleichen. ;Elektrizitäts-Genossenschaft Röthenbach eG;41.6;6.2;19.8;1.32;9900548000002
88167;Grünenbach. ;Weißachtal-Kraftwerke eG;60;7.89;13.6;1.32;9900489000004
88167;Grünenbach. ;Weißachtal-Kraftwerke eG;60;7.89;13.6;1.32;9900489000004
88167;Grünenbach. ;Elektrizitäts-Genossenschaft Röthenbach eG;41.6;6.2;19.8;1.32;9900548000002
88167;Grünenbach. ;Elektrizitäts-Genossenschaft Röthenbach eG;41.6;6.2;19.8;1.32;9900548000002
88167;Grünenbach. ;AllgäuNetz GmbH & Co. KG;60;7.48;10.75;1.32;9907387000003
88167;Grünenbach. ;AllgäuNetz GmbH & Co. KG;60;7.48;10.75;1.32;9907387000003
88178;Heimenkirch. ;Elektrizitätsnetze Allgäu GmbH;30;4.85;12.6;1.32;9907721000007
88178;Heimenkirch. ;Elektrizitäts-Genossenschaft Röthenbach eG;41.6;6.2;19.8;1.32;9900548000002
88178;Heimenkirch. ;Elektrizitäts-Genossenschaft Röthenbach eG;41.6;6.2;19.8;1.32;9900548000002
88138;Hergensweiler. ;Elektrizitäts-Genossenschaft Schlachters eG;48;6.5;15;1.32;9900596000004
88131;Lindau. ;Stadtwerke Lindau (B) GmbH & Co. KG;23.3;7.15;15.2;1.59;9900388000006
88131;Lindau. ;Stadtwerke Lindau (B) GmbH & Co. KG;23.3;7.15;15.2;1.59;9900388000006
88161;Lindenberg. ;Elektrizitätsnetze Allgäu GmbH;30;4.85;12.6;1.32;9907721000007
88167;Maierhöfen. ;Elektrizitäts-Genossenschaft Röthenbach eG;41.6;6.2;19.8;1.32;9900548000002
88167;Maierhöfen. ;Elektrizitäts-Genossenschaft Röthenbach eG;41.6;6.2;19.8;1.32;9900548000002
88167;Maierhöfen. ;Elektrizitäts-Genossenschaft Röthenbach eG;41.6;6.2;19.8;1.32;9900548000002
88167;Maierhöfen. ;Elektrizitäts-Genossenschaft Röthenbach eG;41.6;6.2;19.8;1.32;9900548000002
88167;Maierhöfen. ;Elektrizitäts-Genossenschaft Röthenbach eG;41.6;6.2;19.8;1.32;9900548000002
88167;Maierhöfen. ;Elektrizitäts-Genossenschaft Röthenbach eG;41.6;6.2;19.8;1.32;9900548000002
88167;Maierhöfen. ;Netze BW GmbH;40;7.35;10.6;1.32;4041407000008
88149;Nonnenhorn. ;Stadtwerke Lindau (B) GmbH & Co. KG;23.3;7.15;15.2;1.32;9900388000006
88179;Oberreute. ;Elektrizitätsnetze Allgäu GmbH;30;4.85;12.6;1.32;9907721000007
88145;Opfenbach. ;Elektrizitätsnetze Allgäu GmbH;30;4.85;12.6;1.32;9907721000007
